ID_ACCIDENTE,KM,TOTAL_HG24H,TOTAL_HL24H,TOTAL_MU24H
1681,54.0,0,1,0
1682,49.5,0,1,0
1683,8.2,0,1,0
1684,0.0,1,0,0
1685,5.6,0,1,0
1686,6.8,0,1,0
1687,,0,1,0
1688,,0,1,0
1689,0.3,0,1,0
1690,0.2,0,1,0
1691,0.2,0,8,0
1692,5.85,0,1,0
1693,6.8,0,1,0
1694,12.4,0,1,0
1695,11.0,0,1,0
1696,7.7,0,1,0
1697,12.9,0,1,0
1698,0.0,0,2,0
1699,535.4,0,4,0
1700,3.0,0,0,1
1701,700.9,0,3,0
1702,9.6,0,1,0
1703,535.4,0,2,0
1704,697.3,0,1,0
1705,10.4,1,1,0
1706,1.0,0,2,0
1707,701.0,0,1,1
1708,698.4,0,3,0
1709,533.0,0,2,0
1710,537.5,0,2,0
1711,,0,2,0
1712,3.5,0,1,0
1713,532.65,0,2,0
1714,42.0,0,1,0
1715,0.5,0,1,0
1716,3.0,0,1,0
1717,4.5,0,1,0
1718,30.0,0,1,0
1719,30.8,0,0,1
1720,28.5,0,1,0
1721,29.9,0,1,0
1722,,0,1,0
1723,,0,2,0
1724,,0,1,0
1725,16.5,0,1,0
1726,,0,4,0
1727,,0,1,0
1728,,0,2,0
1729,,0,1,0
1730,,0,1,0
1731,,0,1,0
1732,,0,2,0
1733,,0,1,0
1734,,0,1,0
1735,,0,1,0
1736,,0,2,0
1737,,0,1,0
1738,,0,1,0
1739,,0,1,0
1740,,0,1,0
1741,,0,1,0
1742,,0,1,0
1743,,0,1,0
1744,,0,1,0
1745,,0,1,0
1746,,0,1,0
1747,,0,2,0
1748,,0,1,0
1749,,0,1,0
1750,,0,2,0
1751,,0,3,0
1752,,0,1,0
1753,2.5,0,1,0
1754,,0,1,0
1755,,0,1,0
1756,,0,1,0
1757,,0,1,0
1758,,0,1,0
1759,,0,2,0
1760,,0,1,0
1761,,0,1,0
1762,,0,2,0
1763,,0,1,0
1764,449.0,0,2,0
1765,,0,1,0
1766,,0,1,0
1767,,0,1,0
1768,,0,1,0
1769,,0,1,0
1770,,0,2,0
1771,,1,0,0
1772,,1,1,0
1773,12.7,1,0,0
1774,0.0,0,0,1
1775,,0,1,0
1776,,0,1,0
1777,,0,1,0
1778,,0,1,0
1779,,0,2,0
1780,,0,1,0
1781,448.0,0,1,0
1782,,0,1,0
1783,,0,1,0
1784,,0,1,0
1785,,0,2,0
1786,,0,1,0
1787,0.5,1,0,0
1788,1.0,0,1,0
1789,,0,1,0
1790,,0,1,0
1791,,0,1,0
1792,,0,1,0
1793,,0,1,0
1794,,1,0,0
1795,,0,1,0
1796,,0,1,0
1797,,0,1,0
1798,,0,1,0
1799,,0,1,0
1800,,0,1,0
1801,,0,1,0
1802,,0,1,0
1803,,0,1,0
1804,,0,1,0
1805,,0,1,0
1806,,0,1,0
1807,,0,1,0
1808,,0,1,0
1809,,0,1,0
1810,,0,1,0
1811,,0,1,0
1812,,0,1,0
1813,,0,2,0
1814,,0,1,0
1815,,0,1,0
1816,,0,1,0
1817,789.4,0,1,0
1818,,0,1,0
1819,7.6,0,1,0
