KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
54.0,1,0,0,1,00000,Recta,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,Mojado,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,LUNES,17,Tarde,Dias laborables
49.5,1,0,0,2,00000,Curva señalizada,Carretera,Fronto-lateral                                     ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,JUEVES,13,Tarde,Dias laborables
8.2,1,0,0,3,00000,Recta,Carretera,Múltiple o en caravana                             ,,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,LUNES,18,Noche,Dias laborables
0.0,0,1,0,4,00000,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,LA MATETA,Camino vecinal,Municipal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,SÁBADO,10,Mañana,Fines de semana
5.6,1,0,0,5,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,DOMINGO,13,Tarde,Fines de semana
6.8,1,0,0,6,00000,Recta,Carretera,Lateral                                            ,,CV-1734,Carretera Convencional de calzada única,Municipal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,5,MARTES,9,Mañana,Dias laborables
,1,0,0,7,00000,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,No,No,No,No,No,No,Sí,2016,1,DOMINGO,9,Mañana,Fines de semana
,1,0,0,8,00000,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,4,JUEVES,15,Tarde,Dias laborables
0.3,1,0,0,9,00000,Curva sin señalizar,Carretera,Lateral                                            ,,CV-826,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,6,MIÉRCOLES,7,Mañana,Dias laborables
0.2,1,0,0,10,00000,Curva sin señalizar,Carretera,Frontal                                            ,,C. NEGRET,Camino vecinal,"Provincial, Cabildo/Consell",Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,DOMINGO,8,Mañana,Fines de semana
0.2,8,0,0,11,00000,Recta,Carretera,Frontal                                            ,,LA SEÑORET,Camino vecinal,Municipal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,JUEVES,7,Mañana,Dias laborables
5.85,1,0,0,12,00000,Curva sin señalizar,Carretera,Salida de la vía por la derecha con colisión       ,,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,SÁBADO,17,Tarde,Fines de semana
6.8,1,0,0,13,00000,Recta,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,MARTES,11,Mañana,Dias laborables
12.4,1,0,0,14,00000,Recta,Carretera,Caída                                              ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,DOMINGO,12,Tarde,Fines de semana
