CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,id
Mojado,"Luz del día natural, solar",Nublado,,Nivel blanco,,1
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,2
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,3
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,5
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,6
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,7
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,8
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,9
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,10
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,11
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,12
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,13
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,14
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,15
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,16
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,17
Con barro o gravilla suelta,"Amanecer o atardecer, sin luz artificial",Despejado,,Sin especificar,,18
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,19
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,20
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,21
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,22
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,23
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,24
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,25
