TIPO_ACCIDENTE,id
Salida de la vía por la derecha otro tipo          ,1
Fronto-lateral                                     ,2
Múltiple o en caravana                             ,3
Salida de la vía por la derecha con colisión       ,4
Salida de la vía por la derecha con vuelco         ,5
Lateral                                            ,6
Fronto-lateral                                     ,7
Atropello a personas                               ,8
Lateral                                            ,9
Frontal                                            ,10
Frontal                                            ,11
Salida de la vía por la derecha con colisión       ,12
Salida de la vía por la derecha otro tipo          ,13
Caída                                              ,14
Salida de la vía por la derecha otro tipo          ,15
Salida de la vía por la izquierda con despeñamiento,16
Salida de la vía por la derecha con colisión       ,17
"Salida de la vía por la izquierda, otro tipo       ",18
Salida de la vía por la derecha con colisión       ,19
"Salida de la vía por la izquierda, otro tipo       ",20
Por alcance                                        ,21
Salida de la vía por la izquierda con colisión     ,22
Múltiple o en caravana                             ,23
Fronto-lateral                                     ,24
Salida de la vía por la derecha con colisión       ,25
Lateral                                            ,26
Atropello a personas                               ,27
Por alcance                                        ,28
Múltiple o en caravana                             ,29
Por alcance                                        ,30
Fronto-lateral                                     ,31
Salida de la vía por la derecha otro tipo          ,32
Salida de la vía por la derecha con colisión       ,33
Salida de la vía por la derecha otro tipo          ,34
Caída                                              ,35
Múltiple o en caravana                             ,36
Salida de la vía por la derecha otro tipo          ,37
Caída                                              ,38
Salida de la vía por la derecha con vuelco         ,39
Salida de la vía por la izquierda con despeñamiento,40
Salida de la vía por la izquierda con despeñamiento,41
Otro tipo de accidente                             ,42
Atropello a personas                               ,43
Atropello a personas                               ,44
Salida de la vía por la izquierda con colisión     ,45
Lateral                                            ,46
Por alcance                                        ,47
Lateral                                            ,48
Otro tipo de accidente                             ,49
Por alcance                                        ,50
Por alcance                                        ,51
Frontal                                            ,52
Por alcance                                        ,53
Caída                                              ,54
Lateral                                            ,55
Por alcance                                        ,56
Por alcance                                        ,57
Caída                                              ,58
Múltiple o en caravana                             ,59
Atropello a personas                               ,60
Atropello a personas                               ,61
Múltiple o en caravana                             ,62
Lateral                                            ,63
Frontal                                            ,64
Atropello a personas                               ,65
Por alcance                                        ,66
Fronto-lateral                                     ,67
Lateral                                            ,68
Atropello a personas                               ,69
Atropello a personas                               ,70
Colisión contra obstáculo o elemento de la vía     ,71
Otro tipo de accidente                             ,72
Salida de la vía por la derecha con colisión       ,73
Otro tipo de accidente                             ,74
Lateral                                            ,75
Otro tipo de accidente                             ,76
Por alcance                                        ,77
Lateral                                            ,78
Frontal                                            ,79
Lateral                                            ,80
Lateral                                            ,81
Lateral                                            ,82
Por alcance                                        ,83
Por alcance                                        ,84
Atropello a personas                               ,85
Por alcance                                        ,86
Caída                                              ,87
Atropello a personas                               ,88
Otro tipo de accidente                             ,89
Lateral                                            ,90
Atropello a personas                               ,91
Lateral                                            ,92
Salida de la vía por la derecha otro tipo          ,93
