COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
00000,Recta,Carretera,1
00000,Curva señalizada,Carretera,2
00000,Recta,Carretera,3
00000,Recta,Carretera,4
00000,Curva señalizada,Carretera,5
00000,Recta,Carretera,6
00000,No aplica,Calle,7
00000,No aplica,Calle,8
00000,Curva sin señalizar,Carretera,9
00000,Curva sin señalizar,Carretera,10
00000,Recta,Carretera,11
00000,Curva sin señalizar,Carretera,12
00000,Recta,Carretera,13
00000,Recta,Carretera,14
00000,Curva sin señalizar,Carretera,15
00000,Curva señalizada,Carretera,16
00000,Curva señalizada,Carretera,17
03005,Recta,Carretera,18
03005,Recta,Carretera,19
03005,Recta,Carretera,20
03005,Recta,Carretera,21
03005,Curva señalizada,Carretera,22
03005,Recta,Carretera,23
03005,Curva señalizada,Carretera,24
03005,Recta,Carretera,25
03005,Curva sin señalizar,Carretera,26
03005,Recta,Carretera,27
03005,Recta,Carretera,28
03005,Recta,Carretera,29
03005,Recta,Carretera,30
03005,No aplica,Calle,31
03005,Curva señalizada,Carretera,32
03005,Recta,Carretera,33
00000,Curva señalizada,Carretera,34
00000,Curva señalizada,Carretera,35
00000,Curva señalizada,Carretera,36
00000,Curva señalizada,Carretera,37
00000,Curva señalizada,Carretera,38
00000,Curva señalizada,Carretera,39
00000,Curva sin señalizar,Carretera,40
00000,Curva señalizada,Carretera,41
03009,No aplica,Calle,42
03009,No aplica,Calle,43
03009,No aplica,Calle,44
03009,Curva señalizada,Carretera,45
03009,No aplica,Calle,46
03009,No aplica,Calle,47
03009,No aplica,Calle,48
03009,No aplica,Calle,49
03009,No aplica,Calle,50
03009,No aplica,Calle,51
03009,No aplica,Calle,52
03009,No aplica,Calle,53
03009,No aplica,Calle,54
03009,No aplica,Calle,55
03009,No aplica,Calle,56
03009,No aplica,Calle,57
03009,No aplica,Calle,58
03009,No aplica,Calle,59
03009,No aplica,Calle,60
03009,No aplica,Calle,61
03009,No aplica,Calle,62
03009,No aplica,Calle,63
03009,No aplica,Calle,64
03009,No aplica,Calle,65
03009,No aplica,Calle,66
