CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,id
,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,1
,CV-700,Carretera Convencional de calzada única,Autonómica,Ambos,2
,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,3
,LA MATETA,Camino vecinal,Municipal,Ascendente,4
,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,5
,CV-1734,Carretera Convencional de calzada única,Municipal,Descendente,6
,No inventariada,Calle,Municipal,Se desconoce,7
,No inventariada,Calle,Municipal,Se desconoce,8
,CV-826,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,9
,C. NEGRET,Camino vecinal,"Provincial, Cabildo/Consell",Ambos,10
,LA SEÑORET,Camino vecinal,Municipal,Ascendente,11
,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,12
,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,13
,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,14
,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,15
,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,16
,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,17
,No inventariada,Camino vecinal,Municipal,Descendente,18
,A-7,Autovía,Estatal,Descendente,19
,CAM. VIEJO,Camino vecinal,Municipal,Ascendente,20
N-340,N-340,Carretera Convencional de calzada única,Estatal,Descendente,21
,CV-873,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,22
,A-7,Autovía,Estatal,Ascendente,23
,N-340,Carretera Convencional de calzada única,Estatal,Descendente,24
,CV-873,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,25
,CAMINO,Vía para automóviles,Municipal,Ascendente,26
,N-340,Carretera Convencional de calzada única,Estatal,Descendente,27
,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,28
,A-7,Autovía,Estatal,Ascendente,29
,A-7,Autovía,Estatal,Descendente,30
,No inventariada,Calle,Municipal,Se desconoce,31
,CAÑADA,Camino vecinal,Municipal,Descendente,32
,A-7,Autovía,Estatal,Ascendente,33
,CV-720,Carretera Convencional de calzada única,Autonómica,Ascendente,34
,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,35
,CV-705,Carretera Convencional de calzada única,Autonómica,Ambos,36
,CV-705,Carretera Convencional de calzada única,Autonómica,Ascendente,37
,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,38
